Co-Occurring Word,Percent Co-Occurrence,word
news,9.53307392996109,china
united,9.53307392996109,china
usa,9.53307392996109,china
virus,9.53307392996109,china
dollar,9.53307392996109,china
make,9.33852140077821,china
big,9.33852140077821,china
fake,9.33852140077821,china
people,8.949416342412452,china
world,8.754863813229571,china
fact,50.0,climate
tonight,25.0,climate
greenpeace,25.0,climate
crystal,25.0,climate
patrick,25.0,climate
save,25.0,climate
dioxide,25.0,climate
big,25.0,climate
purest,25.0,climate
air,25.0,climate
science,25.0,climate
watch8,25.0,climate
cant,25.0,climate
main,25.0,climate
win,25.0,climate
plan,25.0,climate
fly,25.0,climate
people,25.0,climate
news,25.0,climate
without,25.0,climate
cleanest,25.0,climate
fakenewscnn,25.0,climate
medium,25.0,climate
american,25.0,climate
clean,25.0,climate
fake,50.57034220532319,cnn
news,50.57034220532319,cnn
rating,25.09505703422053,cnn
foxnews,16.730038022813687,cnn
bad,13.688212927756654,cnn
great,12.547528517110266,cnn
people,11.406844106463879,cnn
much,11.406844106463879,cnn
even,11.02661596958175,cnn
msdnc,10.26615969581749,cnn
medium,10.26615969581749,cnn
trump,9.885931558935361,cnn
msnbc,9.885931558935361,cnn
like,9.505703422053232,cnn
dont,9.505703422053232,cnn
story,9.125475285171103,cnn
time,8.745247148288973,cnn
nbc,8.745247148288973,cnn
hillary,8.745247148288973,cnn
nytimes,8.365019011406844,cnn
watch,7.984790874524715,cnn
big,7.984790874524715,cnn
never,7.604562737642586,cnn
get,7.604562737642586,cnn
others,7.224334600760455,cnn
news,35.294117647058826,covid
fake,32.35294117647059,covid
medium,29.411764705882355,covid
19,23.52941176470588,covid
people,20.588235294117645,covid
great,17.647058823529413,covid
far,14.705882352941178,covid
election,14.705882352941178,covid
good,14.705882352941178,covid
made,11.76470588235294,covid
china,11.76470588235294,covid
governor,11.76470588235294,covid
democrat,11.76470588235294,covid
better,11.76470588235294,covid
job,11.76470588235294,covid
talk,11.76470588235294,covid
trump,11.76470588235294,covid
big,11.76470588235294,covid
many,11.76470588235294,covid
make,11.76470588235294,covid
state,11.76470588235294,covid
relief,11.76470588235294,covid
wont,8.823529411764707,covid
rate,8.823529411764707,covid
virus,8.823529411764707,covid
dr,55.55555555555556,fauci
great,44.44444444444444,fauci
tony,33.33333333333333,fauci
dont,33.33333333333333,fauci
nothing,33.33333333333333,fauci
say,33.33333333333333,fauci
news,22.22222222222222,fauci
fake,22.22222222222222,fauci
done,22.22222222222222,fauci
lamestream,22.22222222222222,fauci
also,22.22222222222222,fauci
get,22.22222222222222,fauci
yet,22.22222222222222,fauci
football,22.22222222222222,fauci
looking,22.22222222222222,fauci
china,22.22222222222222,fauci
way,22.22222222222222,fauci
anthony,22.22222222222222,fauci
national,22.22222222222222,fauci
said,22.22222222222222,fauci
good,22.22222222222222,fauci
medium,22.22222222222222,fauci
democrat,22.22222222222222,fauci
nfl,22.22222222222222,fauci
job,22.22222222222222,fauci
george,90.0,floyd
memory,70.0,floyd
trouble,40.0,floyd
cause,40.0,floyd
maga,30.0,floyd
night,30.0,floyd
tonight,30.0,floyd
protester,30.0,floyd
managed,30.0,floyd
professionally,30.0,floyd
understand,30.0,floyd
white,30.0,floyd
easily,30.0,floyd
little,30.0,floyd
secretservice,30.0,floyd
socalled,30.0,floyd
house,30.0,floyd
handled,30.0,floyd
arrived,20.0,floyd
vain,20.0,floyd
died,20.0,floyd
respect,20.0,floyd
guard,20.0,floyd
sad,20.0,floyd
national,20.0,floyd
great,12.882096069868995,foxnews
tonight,12.663755458515283,foxnews
trump,12.22707423580786,foxnews
democrat,12.008733624454148,foxnews
pm,11.790393013100436,foxnews
interviewed,11.790393013100436,foxnews
seanhannity,11.135371179039302,foxnews
president,10.698689956331878,foxnews
enjoy,10.480349344978166,foxnews
cnn,9.606986899563319,foxnews
news,9.388646288209607,foxnews
fake,9.170305676855897,foxnews
big,8.296943231441048,foxnews
people,7.423580786026202,foxnews
like,6.986899563318777,foxnews
even,6.768558951965066,foxnews
